Store,Lat,Lng,Rating,Quantity,Popup String,Date
Birkenhead,53.3891235,-3.0239121,4.1,233,"Birkenhead, Rating = 4.1 from 233 reviews",2020-02-06
Bootle,53.4518251,-2.9918986,4.0,60,"Bootle, Rating = 4.0 from 60 reviews",2020-02-06
Bradford,53.79540489999999,-1.7555725,3.7,22,"Bradford, Rating = 3.7 from 22 reviews",2020-02-06
Bury,53.5937973,-2.2940219,3.9,495,"Bury, Rating = 3.9 from 495 reviews",2020-02-06
Cannock,52.681202,-2.03998,3.7,204,"Cannock, Rating = 3.7 from 204 reviews",2020-02-06
Chelmsford,51.7384332,0.4792456,3.7,80,"Chelmsford, Rating = 3.7 from 80 reviews",2020-02-06
Chesterfield,53.23480190000001,-1.4252178,3.8,295,"Chesterfield, Rating = 3.8 from 295 reviews",2020-02-06
Coventry,52.4083753,-1.5148037,4.0,345,"Coventry, Rating = 4.0 from 345 reviews",2020-02-06
Dundee,56.46398969999999,-2.968944599999999,3.0,8,"Dundee, Rating = 3.0 from 8 reviews",2020-02-06
Durham,54.77678390000001,-1.5731956,4.6,5,"Durham, Rating = 4.6 from 5 reviews",2020-02-06
East-Kilbride,55.76033959999999,-4.1793472,3.9,89,"East-Kilbride, Rating = 3.9 from 89 reviews",2020-02-06
Glasgow-G1,55.8571398,-4.247420999999999,4.0,1528,"Glasgow-G1, Rating = 4.0 from 1528 reviews",2020-02-06
Hartlepool,54.6828331,-1.2115399,3.9,277,"Hartlepool, Rating = 3.9 from 277 reviews",2020-02-06
Liverpool,53.4094746,-2.9726898,4.0,1309,"Liverpool, Rating = 4.0 from 1309 reviews",2020-02-06
Livingston,55.87918279999999,-3.5209457,3.0,77,"Livingston, Rating = 3.0 from 77 reviews",2020-02-06
Maidstone,51.2724671,0.5262283,4.0,391,"Maidstone, Rating = 4.0 from 391 reviews",2020-02-06
Middlesbrough,54.5753453,-1.2395668,4.2,260,"Middlesbrough, Rating = 4.2 from 260 reviews",2020-02-06
Newcastle-Upon-Tyne,54.9720029,-1.6143774,3.9,804,"Newcastle-Upon-Tyne, Rating = 3.9 from 804 reviews",2020-02-06
Nuneaton,52.52103890000001,-1.4696901,3.9,234,"Nuneaton, Rating = 3.9 from 234 reviews",2020-02-06
Oldham,53.5415269,-2.1120332,4.0,443,"Oldham, Rating = 4.0 from 443 reviews",2020-02-06
Preston,53.7571692,-2.705048199999999,4.2,332,"Preston, Rating = 4.2 from 332 reviews",2020-02-06
Sheffield,53.3753049,-1.4740928,3.8,381,"Sheffield, Rating = 3.8 from 381 reviews",2020-02-06
St-Helens,53.452532,-2.7336735,4.2,240,"St-Helens, Rating = 4.2 from 240 reviews",2020-02-06
Walsall,52.5849093,-1.983740399999999,3.5,225,"Walsall, Rating = 3.5 from 225 reviews",2020-02-06
Widnes,53.3683969,-2.7247524,4.1,363,"Widnes, Rating = 4.1 from 363 reviews",2020-02-06
